wordnet_id,core_synset,definition,core_lemma
2721160,antihypertensive.n.01,a drug that reduces high blood pressure,antihypertensive
2730265,applicator.n.01,a device for applying a substance,applicator
2744395,cheese.n.01,"Color is a property of light as seen by people, resulting from the way objects reflect or emit light into the eye.",color
2770078,backplate.n.01,plate armor protecting the back; worn as part of a cuirass,backplate
2793684,barndoor.n.01,an opaque adjustable flap on a lamp fixture; used in photography to cut off light from particular areas,barndoor
2803666,bass_drum.n.01,a large drum with two heads; makes a sound of indefinite but very low pitch,bass_drum
2807731,bathroom.n.01,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,bathroom
2821943,bedroom_furniture.n.01,furniture intended for use in a bedroom,bedroom_furniture
2824319,belfry.n.02,a room (often at the top of a tower) where bells are hung,belfry
2825442,bellbottom_trousers.n.01,trousers with legs that flare; worn by sailors; absurdly wide hems were fashionable in the 1960s,bellbottom_trousers
2852043,bling.n.01,"flashy, ostentatious jewelry",bling
2870293,room.n.01,"Items such as chairs, tables, and beds that are used to make a room suitable for living or working.",furniture
2870880,bookcase.n.01,a piece of furniture with shelves for storing books,bookcase
2923535,burnous.n.01,a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,burnous
2933112,cabinet.n.01,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,cabinet
2963987,cardroom.n.01,a room for gambling on card games,cardroom
2991302,cell.n.07,a room where a prisoner is kept,cell
3024209,dye.v.01,a chemical used to whiten or disinfect materials by removing color.,bleach
3035832,cittern.n.01,a 16th century musical instrument resembling a guitar with a pear-shaped soundbox and wire strings,cittern
3049457,closet.n.04,a small private room for study or prayer,closet
3107488,cords.n.01,cotton trousers made of corduroy cloth,cords
3131388,root_vegetable.n.01,"the process of cooking food in hot oil or fat, typically resulting in a crispy outer layer.",fry
3131669,crib.n.03,a bin or granary for storing grains,crib
3152830,cutaway.n.02,a man's coat cut diagonally from the waist to the back of the knees,cutaway
3249569,drum.n.01,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,"drum,"
3262349,earring.n.01,jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe,earring
3288500,engineering.n.03,a room (as on a ship) in which the engine is located,engineering
3298716,etagere.n.01,a piece of furniture with open shelves for displaying small ornaments,etagere
3308246,coin.n.01,"a small coin of low value used in various countries, typically worth one-hundredth of the basic currency unit.",penny
3309110,eyeliner.n.01,makeup applied to emphasize the shape of the eyes,eyeliner
3347220,engineering.n.02,the discipline dealing with the art or science of applying scientific knowledge to practical problems,engineering
3353281,fitment.n.01,any of the items furnishing or equipping a room (especially built-in furniture),fitment
3366112,body_part.n.01,A large and usually continuous geographic area distinguished by specific or unique characteristics.,region
3411927,gallery.n.04,a long usually narrow room used for some specific purpose,gallery
3456665,greatcoat.n.01,a heavy coat worn over clothes in winter,greatcoat
3563208,athletic_facility.n.01,"A constructed basin filled with water for swimming, diving, or recreational bathing.",swimming pool
3580281,termination.n.05,"Relinquishment is the act of voluntarily giving up or surrendering a claim, right, or possession.",relinquishment
3603442,jungle_gym.n.01,a structure of vertical and horizontal rods where children can climb and play,jungle_gym
3607029,kachina.n.03,a carved doll wearing the costume of a particular Pueblo spirit; usually presented to a child as a gift,kachina
3628071,kohl.n.01,a cosmetic preparation used by women in Egypt and Arabia to darken the edges of their eyelids,kohl
3630383,lab_coat.n.01,a light coat worn to protect clothing from substances used while working in a laboratory,lab_coat
3676483,lipstick.n.01,makeup that is used to color the lips,lipstick
3679712,living_room.n.01,a room in a private house or establishment where people can sit and talk and relax,living_room
3685307,lodge.n.05,any of various Native American dwellings,lodge
3703463,mackinaw.n.01,a short plaid coat made of made of thick woolen material,mackinaw
3714235,makeup.n.01,cosmetics applied to the face to improve or change your appearance,"makeup,"
3728318,mat.n.02,mounting consisting of a border or background for a picture,mat
3748162,mercantile_establishment.n.01,a place of business for retailing goods,mercantile_establishment
3764276,military_vehicle.n.01,vehicle used by the armed forces,military_vehicle
3818090,neomycin.n.01,an antibiotic obtained from an actinomycete and used (as a sulphate under the trade name Neobiotic) as an intestinal antiseptic in surgery,neomycin
3842156,office_furniture.n.01,furniture intended for use in an office,office_furniture
3880032,pallium.n.04,cloak or mantle worn by men in ancient Rome,pallium
3889343,feeling.n.01,"a state of well-being and contentment marked by feelings of joy, satisfaction, and fulfillment.",happiness
3907654,penal_institution.n.01,an institution where persons are confined for punishment and to protect the public,penal_institution
3940713,pin.n.01,a piece of jewelry that is pinned onto the wearer's garment,pin
3975232,pointer.n.02,an indicator as on a dial,pointer
3982060,pool.n.01,an excavation that is (usually) filled with water,pool
3990474,pot.n.01,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,pot
4010305,cooking_utensil.n.01,a container typically used for cooking or storing food.,pot
4025130,puppet.n.03,a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers,puppet
4062807,reconnaissance_vehicle.n.01,fast armored military vehicle with four-wheel drive and open top,reconnaissance_vehicle
4123448,sack_coat.n.01,man's hiplength coat with a straight back; the jacket of a suit,sack_coat
4125853,safety_belt.n.01,belt attaching you to some object as a restraint in order to prevent you from getting hurt,safety_belt
4140340,sawdust_doll.n.01,a doll that is stuffed with sawdust,sawdust_doll
4145056,scenery.n.01,the painted structures of a stage set that are intended to suggest a particular locale,scenery
4192521,sheraton.n.01,a furniture style that originated in England around 1800; simple in design with straight lines and classical ornamentation,Sheraton
4259202,solenoid.n.01,a coil of wire around an iron core; becomes a magnet when current passes through the coil,solenoid
4285773,kind.n.01,a system of ordering society based on perceived social or economic status.,class
4345028,study.n.05,a room used for reading and writing and studying,study
4387201,tambour.n.02,a drum,tambour
4416901,tetraskelion.n.01,a figure consisting of four stylized human arms or legs (or bent lines) radiating from a center,tetraskelion
4455579,topper.n.05,a woman's short coat,topper
4497570,tunic.n.02,any of a variety of loose fitting cloaks extending to the hips or knees,tunic
4534520,videotape.n.01,a video recording made on magnetic tape,videotape
4539203,vivarium.n.01,an indoor enclosure for keeping and raising living animals and plants and observing them under natural conditions,vivarium
4552551,war_room.n.01,a room where strategic decisions are made (especially for military or political campaigns),war_room
4596797,room.n.01,"Casserole is a type of dish, both in terms of the cookware used and the variety of ingredients that are baked together to create a meal.",casserole
4832208,club.n.03,a tool or instrument used to carry out a particular function.,implement
4930139,drape.n.02,the manner in which fabric hangs or falls,drape
5008085,asexuality.n.01,having no evident sex or sex organs,asexuality
5219923,female_body.n.01,the body of a female human being,female_body
5316083,affect.v.01,have an effect upon,affect
5350912,discipline.n.01,"the application of scientific principles to design and build machines, structures, and other items, including bridges, roads, vehicles, and buildings.",engineering
5374860,tetraskelion.n.01,A four-armed cross is a type of cross symbol characterized by having four arms of equal length that extend outward from a central point.,four-armed cross
5410315,gonadotropin.n.01,hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,gonadotropin
5522784,pudendal_cleft.n.01,the fissure between the labia majora,pudendal_cleft
5728577,message.n.02,"language or behavior that is silly, illogical, or has no meaning or importance.",nonsense
5752544,learning.n.01,the cognitive process of acquiring skill or knowledge,learning
5794797,block.n.01,a solid piece of something (usually having flat rectangular sides),block
5895919,female_aristocrat.n.01,A female monarch of a kingdom who holds her position by right of birth or marriage.,queen
5958517,physical_entity.n.01,"a physical item that can be seen and touched, or a goal or purpose.",object
6189776,monophysitism.n.01,a Christian heresy of the 5th and 6th centuries that challenged the orthodox definition of the two natures (human and divine) in Jesus and instead believed there was a single divine nature,Monophysitism
6528587,statement.n.01,A mutual understanding or arrangement between parties regarding their rights and responsibilities.,agreement
6584891,instruction.n.04,(computer science) a line of code written as part of a computer program,instruction
6586355,command_line.n.01,commands that a user types in order to run an application,command_line
6607809,absurdity.n.01,a message whose content is at variance with reason,absurdity
6615026,feature.n.03,the principal (full-length) film in a program at a movie theater,feature
6615458,home_movie.n.01,a film made at home by an amateur photographer,home_movie
6615818,collage_film.n.01,a movie that juxtaposes different kinds of footage,collage_film
6616314,short_subject.n.01,a brief film; often shown prior to showing the feature,short_subject
6617011,cinema_verite.n.01,a movie that shows ordinary people in actual activities without being controlled by a director,cinema_verite
6617413,skin_flick.n.01,a pornographic movie,skin_flick
6729499,assertion.n.01,a declaration that is made emphatically (as if no supporting evidence were necessary),assertion
6880664,emblem.n.02,a visible symbol representing an abstract idea,emblem
6883725,swastika.n.01,the official emblem of the Nazi Party and the Third Reich; a cross with the arms bent at right angles in a clockwise direction,swastika
6946774,candy.n.01,"A space within a building enclosed by walls, floor, and ceiling, used for various purposes.",room
7025268,truck.n.01,an automotive vehicle suitable for hauling,truck
7109847,utterance.n.01,the use of uttered sounds for auditory communication,utterance
7116261,hammer.n.02,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,hammer
7150023,collective_bargaining.n.01,negotiation between an employer and trade union,collective_bargaining
7163803,previous_question.n.01,a motion calling for an immediate vote on the main question under discussion by a deliberative assembly,previous_question
7507098,embarrassment.n.01,the shame you feel when your inadequacy or guilt is made public,embarrassment
7596684,sweet.n.03,a food rich in sugar,sweet
7597365,candy.n.01,a rich sweet made of flavored sugar and often combined with fruit or nuts,"candy,"
7601809,caramel.n.01,firm chewy candy made from caramelized sugar and butter and milk,caramel
7605282,dragee.n.01,silvery candy beads used for decorating cakes,dragee
7606419,horehound.n.02,a candy that is flavored with an extract of the horehound plant,horehound
7607707,lozenge.n.01,a small aromatic or medicated candy,lozenge
7608721,popcorn_ball.n.01,popcorn combined with a thick sugar or molasses or caramel syrup and formed into balls,popcorn_ball
7625977,shoofly_pie.n.01,open pie filled with a mixture of sweet crumbs and molasses,shoofly_pie
7626721,pumpkin_pie.n.01,pie made of mashed pumpkin and milk and eggs and sugar,pumpkin_pie
7626833,squash_pie.n.01,similar to pumpkin pie but made with winter squash instead of pumpkin,squash_pie
7627310,patty.n.02,small pie or pasty,patty
7651454,variety_meat.n.01,edible viscera of a butchered animal,variety_meat
7654438,cold_cuts.n.01,sliced assorted cold meats,cold_cuts
7664468,carbonado.n.02,a piece of meat (or fish) that has been scored and broiled,carbonado
7698915,pasta.n.02,shaped and dried dough made from flour and water and sometimes egg,"pasta,"
7700167,tortellini.n.01,small ring-shaped stuffed pasta,tortellini
7700868,vermicelli.n.01,pasta in strings thinner than spaghetti,vermicelli
7701244,ravioli.n.01,small circular or square cases of dough with savory fillings,ravioli
7702193,dumpling.n.01,small balls or strips of boiled or steamed dough,dumpling
7710616,potato.n.01,an edible tuber native to South America; a staple food of Ireland,potato
7834065,anchovy_dressing.n.01,vinaigrette and mashed anchovies,anchovy_dressing
7854266,muenster.n.01,semisoft pale-yellow cheese,Muenster
7854455,quark_cheese.n.01,"fresh unripened cheese of a smooth texture made from pasteurized milk, a starter, and rennet",quark_cheese
7871940,meat_pie.n.01,pie made with meat or fowl enclosed in pastry or covered with pastry or biscuit dough,meat_pie
7891189,near_beer.n.01,drink that resembles beer but with less than 1/2 percent alcohol,near_beer
7897116,retsina.n.01,Greek wine flavored with resin,retsina
7914271,smoothie.n.02,a thick smooth drink consisting of fresh fruit pureed with ice cream or yoghurt or milk,smoothie
7922764,cocoa.n.01,a beverage made from cocoa powder and milk and sugar; usually drunk hot,cocoa
7929519,coffee.n.01,a beverage consisting of an infusion of ground coffee beans,coffee
7933274,tea.n.01,a beverage made by steeping tea leaves in water,tea
7933530,tea-like_drink.n.01,a beverage that resembles tea but is not made from tea leaves,tea-like_drink
8089797,american_baptist_convention.n.01,an association of Northern Baptists,American_Baptist_Convention
8095160,conservative_judaism.n.01,Jews who keep some of the requirements of the Mosaic law but allow for adaptation of other requirements (as some of the dietary laws) to fit modern circumstances,Conservative_Judaism
8124208,candy.n.01,"Red meat refers to the meat from mammals, which is typically rich in iron and protein and characterized by its red color when raw.",red meat
8339939,united_states_intelligence_agency.n.01,an intelligence service in the United States,United_States_intelligence_agency
8876291,beverage.n.01,"a red wine from Bordeaux, or a similar wine made elsewhere.",claret
9020389,marsupial.n.01,"a small nocturnal marsupial native to Australia, known for its ability to feign death as a defensive mechanism against threats.",possum
9044146,concept.n.01,"A measure of amount or number in numerical terms, not associated with value or quality.",quantity
9057052,dinosaur.n.01,"A space within a building enclosed by walls, a floor, and a ceiling, used for a variety of purposes.",room
9427682,knock.v.06,"A stern rebuke or admonition, typically by someone in authority.",reprimand
9580065,vestment.n.01,gown (especially ceremonial garments) worn by the clergy,vestment
9719434,wheeled_vehicle.n.01,"a portable dwelling, typically towed behind a vehicle, used for temporary or recreational accommodation.",house trailer
9793248,ancient.n.01,a very old person,ancient
9794211,anglophile.n.01,an admirer of England and things English,anglophile
9862621,bobby.n.01,an informal term for a British policeman,bobby
9875188,bridge_partner.n.01,one of a pair of bridge players who are on the same side of the game,bridge_partner
9984659,customer.n.01,someone who pays for goods or services,customer
10012874,transform.v.02,A form or outline that defines the external boundary or surface configuration of something.,shape
10024569,artifact.n.01,an obstruction or impediment to movement or progress.,block
10080493,autoloader.n.01,"A handheld firearm designed to be operated with one hand, typically used for short-range shooting.",pistol
10106452,flap.n.01,any broad thin and limber covering attached at one edge; hangs loose or projects freely,flap
10198409,covering.n.02,"a movement, usually quick and light, wherein something flexible or flat is waved or vibrated rapidly.",flap
10333317,mother-in-law.n.01,the mother of your spouse,mother-in-law
10408552,patron_saint.n.01,a saint who is considered to be a defender of some group or nation,patron_saint
10444677,plate.n.14,"Protective clothing designed to absorb or deflect physical attacks, often used by military personnel and law enforcement officers to minimize injury from bullets and other weapons.",body armor
10453357,poor_person.n.01,a person with few or no possessions,poor_person
10548623,living_quarters.n.01,"a provision of housing or lodging, or the process of adapting or adjusting to someone or something.",accommodation
10572128,discipline.n.01,"a branch of science and technology concerned with the design, building, and use of engines, machines, and structures.",engineering science
10794014,writer.n.01,writes (books or stories or articles or the like) professionally (for pay),writer
10939743,cattle.n.01,"Domesticated bovine animals kept primarily for milk, meat, or as draft animals.",cattle
11039909,coil.n.06,A device made of a series of wire loops that generates a magnetic field when electric current flows through it.,magnetic coil
11334088,currency.n.01,"A form of money issued by governments and banks that is used as a medium of exchange, typically printed on paper.",paper currency
11417672,geological_phenomenon.n.01,a natural phenomenon involving the structure or composition of the earth,geological_phenomenon
11437577,ionizing_radiation.n.01,high-energy radiation capable of producing ionization in substances through which it passes,ionizing_radiation
11460338,duct.n.01,"a thin membrane forming a closed sac around the embryo in birds, reptiles, and mammals, providing a protective environment.",amnion
12345739,message.n.02,"a communication or idea that lacks meaningful or logical sense, often including absurd or contradictory statements.",nonsense
12402348,banyan.n.01,East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks,banyan
13221529,club_moss.n.01,primitive evergreen moss-like plant with spores in club-shaped strobiles,club_moss
13290566,blood_money.n.01,compensation paid to the family of a murdered person,blood_money
13389475,ducat.n.01,formerly a gold coin of various European countries,ducat
13390139,nickel.n.02,a United States coin worth one twentieth of a dollar,nickel
13390405,half_dollar.n.01,a United States coin worth half of a dollar,half_dollar
13392786,farthing.n.01,a former British bronze coin worth a quarter of a penny,farthing
13649361,beverage.n.01,an animal that primarily consumes meat as its main dietary component.,carnivore
13716878,apothecaries'_unit.n.01,any weight unit used in pharmacy; an ounce is equal to 480 grains and a pound is equal to 12 ounces,apothecaries'_unit
13884740,parallelepiped.n.01,a prism whose bases are parallelograms,parallelepiped
13915305,hexahedron.n.01,any polyhedron having six plane faces,hexahedron
13931145,friendship.n.01,the state of being friends (or friendly),friendship
13984082,blackout.n.02,darkness resulting from the extinction of lights (as in a city invisible to enemy aircraft),blackout
14140678,inflammation.n.01,"Inflammation of the mucous membrane inside the nose, often caused by an allergy or a viral infection.",rhinitis
14195315,anemia.n.01,a deficiency of red blood cells,anemia
14294568,credit_line.n.01,"Credit refers to the borrowing capacity of an individual or organization, or the acknowledgment of confidence in a borrower's ability to repay.",credit
14320813,hemothorax.n.01,accumulation of blood in the pleural cavity (the space between the lungs and the walls of the chest),hemothorax
14360436,armor_plate.n.01,specially hardened steel plate used to protect fortifications or vehicles from enemy fire,armor_plate
14488317,financial_condition.n.01,the condition of (corporate or personal) finances,financial_condition
14533937,allergic_rhinitis.n.01,rhinitis caused by an allergic reaction,allergic_rhinitis
14550987,deafness.n.01,partial or complete loss of hearing,deafness
14579933,beverage.n.01,"A quality or state of being friendly, generous, and considerate towards others.",kind
14606290,gamma_aminobutyric_acid.n.01,an amino acid that is found in the central nervous system; acts as an inhibitory neurotransmitter,gamma_aminobutyric_acid
14620257,halon.n.01,a compound in which the hydrogen atoms of a hydrocarbon have been replaced by bromine and other halogen atoms; very stable; used in fire extinguishers although it is thought to release bromine that depletes the ozone layer,halon
14632648,calcium.n.01,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,calcium
14647235,nitrogen.n.01,a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas; constitutes 78 percent of the atmosphere by volume; a constituent of all living tissues,nitrogen
14654954,silver.n.01,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,silver
14686352,fossil_fuel.n.01,fuel consisting of the remains of organisms preserved in rocks in the earth's crust with high carbon and hydrogen content,fossil_fuel
14702875,glue.n.01,cement consisting of a sticky substance that is used as an adhesive,glue
14703190,animal_glue.n.01,a protein gelatin obtained by boiling e.g. skins and hoofs of cattle and horses,animal_glue
14807929,catecholamine.n.01,any of a group of chemicals including epinephrine and norepinephrine that are produced in the medulla of the adrenal gland,catecholamine
14809057,endorphin.n.01,a neurochemical occurring naturally in the brain and having analgesic properties,endorphin
14867690,buntal.n.01,fine white Philippine fiber from stalks of unopened leaves of talipot palms; used in making hats,buntal
14872875,foam_rubber.n.01,spongy rubber; made by introducing air bubbles before vulcanization and used for cushioning or upholstery,foam_rubber
14880557,crown_glass.n.01,a glass blown into a globe which is later flattened and spun to form a disk,crown_glass
14894140,resin.n.01,any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules,resin
15180934,arrival_time.n.01,the time at which a public conveyance is scheduled to arrive at a given destination,arrival_time
15970145,room.n.01,"a collection of decorative items worn for personal adornment, such as rings, necklaces, earrings, and bracelets.",jewelry
17002912,discussion.n.02,Negotiation is a dialogue between two or more parties aimed at reaching a consensus or resolving differences.,negotiation
17012379,coin.n.01,"A bird of prey is a carnivorous bird that hunts and feeds on other animals, distinguished by keen vision and powerful talons and beaks.",bird of prey
17282800,coin.n.01,"A small piece of metal, usually flat and circular, authorized by a government for use as money.",coin
17925539,cloak.n.02,"an alcoholic beverage made by fermenting grapes with yeast, which converts the sugars in the grapes into alcohol and carbon dioxide.",wine
18367104,applicator.n.01,"A tool consisting of bristles fastened into a handle, used for applying paint or other substances to surfaces.",paintbrush
18758723,communicate.v.02,"the act of using symbols or characters to communicate thoughts and ideas through compositions such as texts, articles, or books.",write
19143128,mechanism.n.05,device consisting of a piece of machinery; has moving parts that perform some function,mechanism
19671124,infectious_disease.n.01,"a severe intestinal infection causing diarrhea with blood and mucus, often resulting from poor sanitary conditions.",dysentery
19855707,furniture.n.01,a piece of metal stamped and issued by the authority of a government for use as money.,coin
19893872,beat.v.01,"a loud, deep sound made by a person or animal, often as an expression of emotion or to display power.",roar
20017667,room.n.01,"a collection of individuals who perform music together, typically comprising vocalists and instrumentalists.",musical group
20128079,room.n.01,"a dairy product made from curdled or cultured milk that is aged and solidified, varying widely in flavor and texture.",cheese
20471134,disorder.n.01,A condition or period of ill health that affects the body or mind.,sickness
20495093,cloak.n.02,"a fermented beverage made from grapes and sometimes other fruits, typically containing alcohol and characterized by its varied flavors and complexity.",wine
20782430,congestion.n.01,"Adenomatosis is a condition involving the formation of numerous adenomas, which are benign tumors that may occur in various organs.",adenomatosis
21377549,information.n.01,"the transmission of information, such as audio or video content, to a dispersed audience via electronic media, typically to a wide area.",broadcast
21564446,prevention.n.01,the act of preventing,prevention
21620388,activity.n.01,"a feeling of reverence and adoration for a deity or sacred entity, often expressed through acts of prayer, rituals, or other forms of devotion.",worship
22149540,dinosaur.n.01,"A structure designed to house government offices, services or public gatherings is typically open to the general populace.",public building
22738759,dinosaur.n.01,A place or container where things are stored and can be found.,repository
22767176,reverence.n.03,"a curved piece of material used to launch arrows, or the act of bending at the waist as a form of greeting or respect.",bow
23129661,cheese.n.01,a property of light reflected by objects that produces different visual sensations depending on the light wavelengths emitted or absorbed.,color
23185551,change.v.02,a process or event resulting in something becoming different than it was before.,change
23232427,land.n.04,"a large open area of country covered with grass, especially one used for grazing.",grassland
23257851,resin.n.01,"a complex carbohydrate composed of glucose units, forming the main constituent of the cell wall in most plants.",cellulose
23620789,content.n.05,"a personal or collective system of beliefs and practices pertaining to the divine or sacred, shaping one’s identity and moral conduct.",religious orientation
24808131,affect.v.01,"A capacity to have an effect on the character, development, or behavior of someone or something, often exercised without direct force or command.",influence
24843217,candy.n.01,"a room used primarily for sleeping, living, or carrying out specific activities.",chamber
24933378,poor_person.n.01,a person with few or no possessions,poor_person
24942232,jewelry.n.01,"a collection of valuable items or wealth stored or hidden, often considered irreplaceable or precious.",treasure
25290589,slang.n.02,A specialized language used by a particular profession or group that may be difficult for outsiders to understand.,jargon
25579216,concept.n.01,"A mathematical expression consisting of a sum of terms, each term including a variable or variables raised to a whole number power and multiplied by a coefficient.",polynomial
25685207,wine.n.01,"A space within a building enclosed by walls, a floor, and a ceiling, typically used for particular activities or functions.",room
25776594,body_part.n.01,a physical component of organisms that is structurally distinct and typically has a specific function within the organism.,body part
26078214,archosaur.n.01,a space that can be occupied or where an activity is conducted within a building.,room
26746434,explosion.n.01,A small explosive device primarily used in celebrations for creating a loud noise and a visual effect.,firecracker
26998039,cosmic_time.n.01,a duration or interval in which events occur or are expected to take place.,time period
27106238,leave.v.01,"a continuous period of performing a certain activity or moving without stopping, often used to describe moving quickly on foot.",run
27246777,cloak.n.02,"A light-colored wine made from green or yellowish grapes, or from red grapes with the skins removed before fermentation.",white wine
27768637,drill.n.01,a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows),drill
27871992,board.n.03,"A large tent used as a shelter for outdoor events, or a sign often over the entrance of a theater, displaying the title of a movie or a performance.",marquee
28190972,call_on_the_carpet.v.01,a verbal reprimand that is intense and often prolonged.,chew out
29094321,quality.n.01,"The ability to influence, direct, or command people, mechanisms, or events.",controllability
29148617,genetic_disease.n.01,a disease or disorder that is inherited genetically,genetic_disease
29161294,change.v.02,a process through which something becomes different or is replaced by something else.,change
29632917,sweet.n.03,a food rich in sugar,sweet
29703209,calcium.n.01,"a protein in the blood that is essential for blood clotting, also known as prothrombin.",factor ii
29779486,enthusiast.n.01,an ardent and enthusiastic supporter of some person or activity,enthusiast
30028757,supporter.n.01,A person who is highly interested in and extremely passionate about a particular subject or activity.,enthusiast
30225071,rosid_dicot_genus.n.01,"a genus of small herbaceous plants in the legume family, commonly known as clover, characterized by leaves divided into three leaflets.",trifolium
30373565,advocate.n.01,"a person who backs, advocates for, or shows enthusiasm for a particular cause, individual, or group.",supporter
30484086,controlled_substance.n.01,a narcotic drug obtained from the poppy plant that is used medicinally to relieve pain and induce sleep.,opium
30883080,chromatic_color.n.01,"A property of light as seen by people, the result of the light being reflected off or emitted from objects and seen in terms of hue, brightness, and saturation.",color
31114750,makeup.n.01,"a long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon, or a counter in a pub, restaurant, or cafe across which drinks or refreshments are served.",bar
31196176,genetic_disease.n.01,"a genetic disorder characterized by high cholesterol levels, specifically LDL, leading to an increased risk of heart disease.",familial hypercholesterolemia
31391857,person.n.01,"A person who accepts the truth or existence of something, often demonstrated through faith or confidence in a particular concept, ideology, or religion.",believer
31595142,lawman.n.01,"A law enforcement agent responsible for maintaining public order, enforcing laws, preventing crime, and protecting citizens and property.",police officer
32152786,wine.n.01,"a facility or location that manages and oversees operations, typically coordinating tasks and information to ensure efficiency and proper functioning.",control center
32327818,vessel.n.03,"A large, often armored, military vehicle equipped with heavy weapons, or a container used for storing liquids or gases.",tank
